label,subject,message
phishing,URGENT: Google account verification #67447522,"Dear Customer, we detected unusual activity on your Google account. Verify your password and OTP immediately within 12 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 67447522. Failure to verify may result in permanent account suspension! Do not ignore this security request."
phishing,ACTION REQUIRED: Corporate account verification #76849884,"Valued Customer, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 12 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 76849884."
phishing,URGENT: Banking account verification #341220,"Dear Customer, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 12 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 341220."
phishing,ACTION REQUIRED: Apple account verification #60352650,"Valued Customer, we detected unusual activity on your Apple account. Verify your password and OTP immediately within 1 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 60352650. Failure to verify may result in permanent account suspension!"
phishing,SECURITY ALERT: Cloud account verification #53314617,"Dear User, we detected unusual activity on your Cloud account. Verify your password and OTP immediately within 4 hours. Visit http://secure-account.example.com/confirm to confirm your credentials. Reference 53314617."
phishing,URGENT: Payroll account verification #97055446,"Valued Customer, we detected unusual activity on your Payroll account. Verify your password and OTP immediately within 4 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 97055446. Do not ignore this security request."
phishing,FINAL WARNING: Corporate account verification #38602278,"Valued Customer, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 6 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 38602278. Failure to verify may result in permanent account suspension!"
phishing,SECURITY ALERT: Apple account verification #95411327,"Dear User, we detected unusual activity on your Apple account. Verify your password and OTP immediately within 4 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 95411327."
phishing,IMPORTANT: Payroll account verification #53523449,"Dear User, we detected unusual activity on your Payroll account. Verify your password and OTP immediately within 12 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 53523449."
phishing,IMPORTANT: Google account verification #67963320,"Dear User, we detected unusual activity on your Google account. Verify your password and OTP immediately within 48 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 67963320. Failure to verify may result in permanent account suspension!"
phishing,ACTION REQUIRED: Payroll account verification #56367902,"Valued Customer, we detected unusual activity on your Payroll account. Verify your password and OTP immediately within 12 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 56367902. Do not ignore this security request."
phishing,FINAL WARNING: Corporate account verification #77245482,"Dear Customer, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 2 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 77245482."
phishing,ACTION REQUIRED: Corporate account verification #96276386,"Dear User, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 12 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 96276386. Failure to verify may result in permanent account suspension!"
phishing,URGENT: Amazon account verification #30727097,"Valued Customer, we detected unusual activity on your Amazon account. Verify your password and OTP immediately within 48 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 30727097."
phishing,SECURITY ALERT: Banking account verification #95902695,"Valued Customer, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 12 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 95902695."
phishing,IMPORTANT: Payroll account verification #73572250,"Valued Customer, we detected unusual activity on your Payroll account. Verify your password and OTP immediately within 48 hours. Visit http://verify-user.example.net/otp to confirm your credentials. Reference 73572250. Failure to verify may result in permanent account suspension! Do not ignore this security request."
phishing,SECURITY ALERT: Banking account verification #58126246,"Dear User, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 2 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 58126246."
phishing,IMPORTANT: Microsoft account verification #20112687,"Dear User, we detected unusual activity on your Microsoft account. Verify your password and OTP immediately within 24 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 20112687."
phishing,SECURITY ALERT: Corporate account verification #48310773,"Valued Customer, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 2 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 48310773. Failure to verify may result in permanent account suspension!"
phishing,ACTION REQUIRED: Banking account verification #68622065,"Dear User, we detected unusual activity on your Banking account. Verify your password and OTP immediately within 48 hours. Visit http://billing-update.example.org/payment to confirm your credentials. Reference 68622065."
phishing,ACTION REQUIRED: Corporate account verification #38933423,"Dear Customer, we detected unusual activity on your Corporate account. Verify your password and OTP immediately within 4 hours. Visit http://192.168.10.55/login/verify to confirm your credentials. Reference 38933423. Do not ignore this security request."
